username,datetime,tweet,cleaned_tweet,target,tweet_compound,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy,second/thirdperson,firstperson,sadness/loneliness,suicidal,primarysupport,troubleconcentrate,worthlessness/guilt,housing,disturbedsleep,occupational,fatigue/lossenergy,weight/appetite,agitation/retardation,topic
raspiarduino,16/12/2021 14:27,The temperature in the games room is: 13.80C 06:27:13,temperature game room,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
davidha30584721,16/12/2021 14:27,@PerpetualWinger Strike him off the medical register.,strike him medical register,normal,-0.128,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
rtc1022,16/12/2021 14:27,@gueraporaza @chron You mean the people most responsible with firearms?,you mean people responsible firearm,normal,0.3804,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
erictheleftyy,16/12/2021 14:27,The fact that this is even a question in this country should tell you everything you need to know about how individualistic and entitled this failed genocidal settler colonial state is.,fact even question country tell you everything you need know individualistic entitle fail genocidal settler colonial state,normal,-0.4166,0,0,0,0.5,0,0.5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1
inc,16/12/2021 14:27,"For @meimeidumplings, the pandemic meant a change from restaurant to dumpling delivery.  @steveniweiss  https://t.co/QingAnV7Qj",pandemic meant change restaurant dumpling delivery,normal,0.1027,0.333333333,0,0.166666667,0,0,0.166666667,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
europeanspectre,16/12/2021 14:27,@AlanaFeral My home experience with w11 has been fine so far. It even fixed some issues I was having with my machine not auto connecting to my wifi after powering on.  But my work machine had the opposite happen when I upgraded. Now it won't connect automatically.,my home experience fine far it even fix issue i my machine not auto connect my wifi power my work machine opposite happen i upgrade it not connect automatically,normal,0.2023,0,0,0.333333333,0.666666667,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3
bobbyguitar55,16/12/2021 14:27,@carsen_johnny Cant wait to see the village Gn,not wait see village good night,normal,0.296,0,0,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,4
pharm_uc,16/12/2021 14:27,@aproko_doctor Truth is that there can never be gender equality anywhere in the world. Even in Western Nation that try Polish it.. that narrative of gender equality ends in words. By natural or Nature's default there was never a design of equality to both gender.,truth never gender equality anywhere world even western nation try polish it narrative gender equality end word natural nature default never design equality gender,normal,0.5859,0.052631579,0,0,0.315789474,0,0.315789474,0.052631579,0.052631579,0.052631579,0.157894737,1,0,0,0,0,0,0,0,0,0,0,0,0,0
prex0311,16/12/2021 14:27,@vegasbabyvegas9 @Connor_J_Hughes For real. Who is this for? The record? Lol,real record laugh,normal,0.4871,0,0,0,0.2,0.2,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
vitor_0502,16/12/2021 14:27,@SpagOsArt @gibz679 @bluepunbuggy @AquaThatOne ayo????? one of the most known Undertale alt timelines getting a good mod? man now I'm hyped,ayo one known undertale alt timeline get good mod man i hyped,normal,0.594,0,0,0.2,0.2,0.2,0.2,0,0,0,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,8
tweack307,16/12/2021 14:27,@ZenithMMO My question is will the people who get the keys before can thay get it again on the second beta? I don't think that would not be fair. But I never got a key yet and I never tried alpha or the other testings out.,my question people get key thay get it second beta i not think would not fair i never get key yet i never try alpha testing,normal,-0.2411,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3
twice_indian,16/12/2021 14:27,"@metacritic Dude! This is so so hugely amazing!! I hope every single ONCE realize the fact they the music taste they stan is literally the most excellent quality you can have!! I feel so glad that I own ""Formula of Love"" masterpiece myself ^^ Thanks metacritic team , you gave true justice ?",dude hugely amazing i hope every single realize fact they music taste they stan literally excellent quality you i feel glad i formula love masterpiece myself joy thanks metacritic team you give true justice,normal,0.9887,0,0,0.068965517,0.24137931,0.034482759,0.344827586,0,0.034482759,0,0.275862069,4,4,0,0,0,0,0,0,0,0,0,0,0,7
yahalloe,16/12/2021 14:27,"@sneakyyyre I mean,, that's what I expected but i think Anna will just surrender without even starting the fight. I don't see Destiny dying now, maybe Titan",i mean i expect i think anna surrender without even start fight i not see destiny die maybe titan,normal,-0.5267,0.214285714,0.071428571,0.142857143,0.071428571,0.071428571,0.071428571,0.214285714,0.142857143,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,9
irishgeek79,16/12/2021 14:27,"@Bethorama0526 @RabbiHarvey *deep breath* say it with me: NO ANTI-VAXXER HAS LOST A SINGLE RIGHT BC THEY CHOSE NOT TO VACCINATE. That's right kids...despite the hyperbole, no one has lost a single right. There are rules for participating in society (wearing pants for instance). This is the same thjng.",deep breath say it me no anti vaxxer lose single right they choose not vaccinate right kid despite hyperbole no one lose single right rule participate society wearing pant instance thjng,normal,-0.8579,0.2,0.133333333,0,0.066666667,0.133333333,0,0.2,0.133333333,0.133333333,0,2,1,2,0,0,0,0,0,0,0,0,0,0,3
hantu71_,16/12/2021 14:27,"Find us on the first floor, most front class near the first ladder you see:-) [bot71]",find us first floor front class near first ladder you seesmiley,normal,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
dahyunscalp,16/12/2021 14:27,@euwcharist pls stop associating me with that person.,please stop associate me person,normal,-0.2263,0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
peircebrain,16/12/2021 14:27,@cuse_man7 @KathleenFOX5 @fox5sandiego They are..Thanks for stating the obvious..,they thanks state obvious,normal,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
saint_tropic,16/12/2021 14:27,If I see ONE MORE edit of a cartoon or anime increasing the frames I am going to go die in minecraft. Yall CANNOT convince me you ACTUALLY THINK IT LOOKS GOOD.  https://t.co/PBz9YzzfUK,i see one edit cartoon anime increase frame i go go die minecraft you not convince me you actually think it look good,normal,-0.2516,0.083333333,0,0.166666667,0.166666667,0.083333333,0.25,0.083333333,0.083333333,0,0.083333333,3,3,0,1,1,0,0,0,0,0,0,0,0,7
fairypaeonia,16/12/2021 14:27,@xilyart thanks for the tag!! ur art is pritti,thanks tag ur art pritti,normal,0.5399,0,0,0.2,0,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
leichicablog,16/12/2021 14:27,A family guide to the Canary Islands  https://t.co/kP4HgGwEqu via @hangaroundthewo,family guide canary island via,normal,0,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antiquechic1,16/12/2021 14:27,@RoryBreaker26 @jordanbpeterson @Twitter Luckily Covid for me was no biggie the first time (pre-jabs) or this time post-jabs,luckily covid me no biggie first time pre jab time post jab,normal,0.2732,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
welpimsuspended,16/12/2021 14:27,@Rakugoat Better than the actual picasso,good actual picasso,normal,0.4404,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4
soundscoool,16/12/2021 14:27,@TomGardnerFool New stock advisor member here! What time does the new pick release start tomorrow?,new stock advisor member time new pick release start tomorrow,normal,0,0,0,0.75,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
randynanakofi,16/12/2021 14:27,The NIA has answered this question several times. She was not suggesting she wants answers. She was actually suggesting it's senseless to do so regardless of the explanation given,nia answer question several time she not suggest she want answer she actually suggest it senseless regardless explanation give,normal,0,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
jay_villa,16/12/2021 14:27,@projectNANOPASS Cant sleep!!! I been refreshing the page! Love to b part of the minting process!,not sleep i refresh page love b part minting process,normal,0.7482,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,9
knotboots,16/12/2021 14:27,"@mastermxnds That partttt ??! The way Im rooting for her and Anne, the dynamic DUO. But like cmon stop being shady!",partt way i root her anne dynamic duo like come stop shady,normal,0.5919,0.333333333,0,0,0,0.333333333,0,0.333333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3
abdemayo,16/12/2021 14:27,"@austiiiin5543 @Sweeps_Addict That one move by xander was bigger than any erika did on her own. Xander also risked not using his idol when ricard told him to play it because he knew they were tryna flush it. Erika won because xander did bad at explaining in the final tribal, but xanders game was better",one move xander big erika her xander also risk not use his idol ricard tell him play it he know they tryna flush it erika win xander bad explain final tribal xanders game well,normal,0.6369,0.166666667,0.083333333,0.083333333,0.083333333,0,0.25,0.166666667,0.083333333,0.083333333,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3
chrisfitzmelb,16/12/2021 14:27,@AllanPurtell @StevenJMiles Your points provides nothing counter to the stats in this tweet,your point provide nothing counter stats tweet,normal,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
aryamsultan_,16/12/2021 14:27,Become obsessed with the process.,become obsess process,normal,-0.1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
itxbigxil,16/12/2021 14:27,id be the second in my family to go to university. i wanna make a good future. not play around w clowns and waste my damn time and money bro,i second my family go university i want make good future not play around clown waste my damn time money brother,normal,-0.5627,0,0.08,0.2,0.12,0.12,0.2,0.08,0,0.08,0.12,0,4,0,0,0,0,0,0,0,0,0,0,0,7
ljrock13,16/12/2021 14:27,@JustinLaBar @ThisIsNasty great show tonight listening to it in my bed room on my tablet the listing to kiss meet and greet on you tube.,great show tonight listen it my bed room my tablet listing kiss meet greet you tube,normal,0.8481,0,0,0.2,0.2,0.2,0.2,0,0,0,0.2,2,2,0,0,0,0,0,0,0,0,0,0,0,6
helenitz,16/12/2021 14:27,Just the two of us ??,two us,normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
tracesprite,16/12/2021 14:27,"Yes, I am wearing a mask and check in with the QR code in public places. I'm about to get my booster. The Omicron virus isn't at all safe.",yes i wear mask check qr code public place i get my booster omicron virus not safe,normal,0.0757,0,0,0.125,0.25,0,0.25,0.25,0,0,0.125,0,3,0,0,0,0,0,0,0,0,0,0,0,1
moofey17,16/12/2021 14:27,"Everything that happened on Sunday created a no-win situation for everyone in the sport.  For Max, Lewis, Red Bull, Mercedes, Masi, the FIA, Stewards, Yas Marina, and the fans.  We all lose. #AbuDhabiGP",everything happen sunday create no win situation everyone sport max lewis red bull mercedes masi fia steward yas marina fan we lose,normal,-0.1779,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.181818182,0.090909091,0.090909091,0.090909091,0.090909091,0,1,1,0,0,0,0,0,0,0,0,0,0,3
secretbutterfly,16/12/2021 14:27,@philia_n I listened to that on audible narrated by David Tennant ??,i listen audible narrate david tennant,normal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
iamsaaiikirran,16/12/2021 14:27,ENJOY THE FULL SONG GUYS ??   https://t.co/N4qWyW1PSo   https://t.co/Uiz0u0p71f  #Prabhas,enjoy full song guy,normal,0.6478,0,0,0.2,0.2,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
sa_budu,16/12/2021 14:27,Not gonna be active on here. Me no wan no spoilers. Gotta see the Spider-Man movie asap!,not go active me no wan no spoiler get see spider man movie soon possible,normal,-0.714,0.285714286,0,0,0,0,0,0.285714286,0.285714286,0.142857143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
johnniac3,16/12/2021 14:27,"@MasterTimBlais Right. Freedom is also a good, without which the preserved life has less value. And preventing isn't the same as not initiating, obviously.",right freedom also good without preserved life less value preventing not not initiate obviously,normal,0.8545,0,0,0.125,0.25,0.125,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fattdaddi_,16/12/2021 14:27,@NoPauseTv Bitch got the sonic the hedgehog rings kicked outta her didnt she,bitch get sonic hedgehog ring kick outta her not she,normal,-0.5859,0.142857143,0.285714286,0,0,0,0,0.285714286,0.142857143,0.142857143,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
moench108,16/12/2021 14:27,"the unseen character arc from ""h-h-hello ma'am nice to meet you"" to ""your mom calls me mommy""",unseen character arc h h hello madam nice meet you your mom call me mommy,normal,0.4215,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6
lastnamefirstf1,16/12/2021 14:27,"@mb123456 @Crispy31600409 @crisfintech @anabelleuk @MirrorSport There is no interpretation of the rules..you allow cars to unlap, you allow ALL cars to unlapthe rules state that once all cars are unlapped, the safety car comes in a lap later which wouldve been the end of the raceHamilton wouldve won based on FIA rules.",no interpretation rule you allow car unlap you allow car unlapthe rule state car unlapped safety car come lap later would end racehamilton would win base fia rule,normal,0.7964,0.428571429,0,0,0.571428571,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
miksbitch,16/12/2021 14:27,my toxic trait is absolutely loving all of the most local and basic songs from an artist,my toxic trait absolutely love local basic song artist,normal,0.6361,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,2
ouggi,16/12/2021 14:27,"Jurgen Klopp says English defender Joe Gomez, will not be leaving to join Steven Gerrard at Aston Villa in the January transfer window. (Express)",jurgen klopp say english defender joe gomez not leave join steven gerrard aston villa january transfer window express,normal,0.3818,0,0,0,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
l2peanut,16/12/2021 14:27,@GBUTicket @DhruvCh51899052 @UtdForev @Yajmal13 @ftbljohn123 @BarcaMVP @TwitterSports Oh and while Im at it messi is the reason Argentina doesnt have 1 more copa america. Couldnt handle the pressure I guess. So much for not being from this planet??,oh i it messi reason argentina not copa america could not handle pressure i guess much not planet,normal,0.3067,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
yurigoggles,16/12/2021 14:27,Not in the haha what a crummy day way,not haha crummy day way,normal,-0.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
earthtoemma_,16/12/2021 14:27,the mutable urge to shapeshift,mutable urge shapeshift,normal,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
chrismaxmcm,16/12/2021 14:27,Amen! ?? Lock up the people that tweet mean emojis!,amen lock people tweet mean emojis,normal,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantusfirmuscc,16/12/2021 14:27,I like that she put a question mark at the end of her first declarative as if we didn't already know that she was raising her pitch at the end of every sentence.,i like she put question mark end her first declarative we not already know she raise her pitch end every sentence,normal,0.4215,0.142857143,0.142857143,0.142857143,0,0,0.142857143,0.142857143,0.142857143,0.142857143,0,4,2,0,0,0,0,0,0,0,0,0,0,0,9
endorwitch,16/12/2021 14:27,"i booked my booster for saturday. originally was thinkng of doing it next tuesday because im not going to work that day, but then thought maybe i should give myself a day and a half between the shot and when i next go to work just in case. :D",i book my booster saturday originally thinkng it next tuesday i not go work day think maybe i give myself day half shot i next go work case grinning,normal,0.7615,0.25,0.125,0,0,0.125,0,0.25,0.25,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4
fkatebritperth,16/12/2021 14:27,"@BernieC36170946 @FacelessUniver1 @Reuters They may say what they like about any religion, however offensive,  but people may not cast aspersions against followers of a faith. That is an important distinction. The word Islamophobia confuses many who think Islam can't be criticized which is of course, completely untrue",they may say they like religion however offensive people may not cast aspersion follower faith important distinction word islamophobia confuse many think islam not criticize course completely untrue,normal,0.6559,0.045454545,0.090909091,0.045454545,0.227272727,0,0.227272727,0.181818182,0.045454545,0.090909091,0.045454545,2,0,0,0,0,0,0,0,0,0,0,0,0,8
paransaeklover,16/12/2021 14:27,The part where SeungGi reach for HeeChul's hand is so adorable ???? I love theirr bromanceeee ??  #LeeSeungGi #???,part seunggi reach heechul hand adorable i love theirr bromancee,normal,0.9219,0,0,0,0,0,0.5,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,2
schuttecfb,16/12/2021 14:27,Urban Meyer has been a head coach for 17 seasons. His first year with the Jacksonville Jaguars marked the first time he's ever had a losing record.,urban meyer head coach season his first year jacksonville jaguar mark first time he ever losing record,normal,-0.3818,0,0.2,0.2,0.2,0,0,0.2,0.2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5
_stevencano,16/12/2021 14:27,"@NotBeaming @TheFlank That's actually undefendable lmaoo, cash grab as usual. I feel the whole idea of how a character is designed reflects off the concept and setting of the game. More so than weapons skins do.  That's my take tho. I agree the design is lackluster but I don't expect otherwise.",actually undefendable laugh cash grab usual i feel whole idea character design reflect concept setting game weapon skin my take though i agree design lackluster i not expect otherwise,normal,-0.1207,0.052631579,0.105263158,0.105263158,0.157894737,0.105263158,0.263157895,0.105263158,0,0,0.105263158,0,4,0,0,0,0,0,0,0,0,0,0,0,4
humandumplingg,16/12/2021 14:27,Succession is the most brilliant show on television. Did you know if you rearrange the letters in Tom Wambsgans it actually spells out I Am Lord Voldemort. Genius it was right there the whole time.,succession brilliant show television you know you rearrange letter tom wambsgans it actually spell i lord voldemort genius it right whole time,normal,0.7089,0,0,0.25,0.25,0,0.25,0.083333333,0,0.083333333,0.083333333,4,1,0,0,0,0,0,0,0,0,0,0,0,3
theblackbeard6,16/12/2021 14:27,@omwiisiki Just two shots of kasese and boom,two shot kasese boom,normal,0,0.2,0.2,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
musicubes,16/12/2021 14:27,@eichlers__ all the ones in winter. HEPpy holidays,one winter heppy holiday,normal,0.3818,0,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,5
hezinna,16/12/2021 14:27,"Can't wait to see how this rate hikes plays out in d skonk market in the next few days. Found it very interesting that market still closed up tho. Ahan ahan, are they calling it bluff. Lol.",not wait see rate hike play skonk market next day find it interest market still close though ahan ahan they call it bluff laugh,normal,0.7778,0,0,0.142857143,0,0.142857143,0.285714286,0.285714286,0,0,0.142857143,3,0,0,0,0,0,0,0,0,0,0,0,0,4
jamiebergkamp,16/12/2021 14:27,"@_cricketsparsh For the most part, yes. Aussies leaving very well too",part yes aussie leave well,normal,0.6566,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
leepd84,16/12/2021 14:27,Anybody want to argue the facts?  https://t.co/vR5pdsKlQS,anybody want argue fact,normal,-0.2732,0,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
knolspeak,16/12/2021 14:27,"#VirtualHiring Drive ??  Are you a passionate and creative professional who believes in bringing the best every day? Do you wish to join the team of inspiring leaders? If yes, We are hiring for #DevOps professionals with exp of 3 to 12 years. Please apply at ta@knoldus.com  https://t.co/SwwSylwyT5",drive you passionate creative professional believe bring best every day you wish join team inspire leader yes we hire professional exp year please apply,normal,0.9725,0,0,0.142857143,0.333333333,0,0.380952381,0,0,0,0.142857143,2,1,0,0,0,0,0,0,0,0,0,0,0,3
android22x,16/12/2021 14:27,"@estrangedkami   ""It is a human tradition. Just try it.""  She would tape it to one of his hair spikes, sitting on his lap comfortably. She's treated him to hot cocoa as they wished to explore this ""festive"" time to eliminate the root of it's hope.  She'd kiss him on the lips.",it human tradition try it she would tape it one his hair spike sit his lap comfortably she treat him hot cocoa they wish explore festive time eliminate root it hope she would kiss him lip,normal,0.8176,0.08,0.08,0.2,0.08,0.12,0.16,0.04,0.04,0.04,0.16,12,0,0,0,0,0,0,0,0,0,0,0,0,6
aliraza81,16/12/2021 14:27,@Ahmad_Noorani Lol the one who ran from Pak is telling others stop being coward ???? Come to Pak and prove in courts but u r just pimp of Sharifs,laugh one run pak tell others stop coward come pak prove court you pimp sharifs,normal,-0.3939,0.166666667,0.083333333,0.083333333,0,0.083333333,0.166666667,0.166666667,0.083333333,0.083333333,0.083333333,1,0,0,0,0,0,0,0,0,0,0,0,0,7
zoshades,16/12/2021 14:27,This was the traitor reveal y'all was hyping btw. In two chapters he redeemed himself and now things have gone back to normal???????,traitor reveal you hype way two chapter he redeem himself thing go back normal,normal,0.504,0.142857143,0.142857143,0.142857143,0,0,0,0.285714286,0.142857143,0.142857143,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7
eymanishafi,16/12/2021 14:27,@m_lik8 Ppl like @IrshadBhatti33 should b made an example for all who is big Sahoolatkar in bringing the manhoos @ImranKhanPTI,people like b make example big sahoolatkar bring manhoos,normal,0.3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
luckwiniecityx,16/12/2021 14:27,@Astrendd Goodluck to the contestants!,goodluck contestant,normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
bobbybless219,16/12/2021 14:27,"According to Twitter Analytics, the height number of impressions the #VenomLetThereBeBooze got was 44.... So far at least.",accord twitter analytics height number impression got far least,normal,0.296,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
donsem43,16/12/2021 14:27,"@evitoxp Haruyama was tremendous too, fantastic selling. The chop block style dropkick she hits late in the match might be my favourite transition ever.",haruyama tremendous fantastic sell chop block style dropkick she hit late match might my favourite transition ever,normal,0.1779,0,0.2,0,0,0,0,0.6,0.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
nicilind,16/12/2021 14:27,@jessradio @whiteswine I used to use vinegar to help pry them loose from the hair. And drown the buggers in conditioner.,i use use vinegar help pry them loose hair drown bugger conditioner,normal,-0.5106,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.285714286,0.142857143,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
